Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_rd,cp_vs2,cp_rs2,cp_vs1,cp_rs1,cp_uimm_5,cp_vs3,cp_vm,cmp_vd_vs2,cmp_vd_vs1,cmp_vs1_vs2,cmp_vd_vs1_vs2,cp_custom
vmaxu.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vmul.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vmul.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vmulh.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vmulh.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vmulhu.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vmulhu.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vmulhsu.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vmulhsu.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vwmul.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vwmul.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vwmulu.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vwmulu.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vwmulsu.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vwmulsu.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vdiv.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vdiv.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vdivu.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vdivu.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vrem.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vrem.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vremu.vv,VV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
vremu.vx,VX,x,x,x,x,x,x,x,x,,x,,,x,,,x,x,,,,
vmacc.vv,MVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,
